,TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_BYTES,Clusters
1023,4,2,0,56,1
1024,39,22,0,12,4
1025,3,22,0,148,4
1026,0,7,2,112,1
1027,82,22,0,8,4
1028,1,1,1920,15360,1
1029,17,10,0,48,1
1030,1,5,2,160,1
1031,6,1,0,5,1
1032,42,21,0,13,4
1033,19,1,0,5,1
1034,1,2,1920,15360,1
1035,9,1,0,10,1
1036,1,1,2,48,1
1037,25,1,0,4,1
1038,1,3,2,136,1
1039,1,1,1,12,1
1040,31,20,0,16,4
1041,1565,1,0,0,5
1042,38,22,0,12,4
1043,2,7,1,56,1
1044,83,1,0,1,1
1045,12,7,0,11,1
1046,0,3,2,136,1
1047,0,3,0,0,1
1048,4,7,0,28,1
1049,19,2,0,79,1
1050,0,1,2,224,1
1051,0,2,2,144,1
1052,4,4,0,15,1
1053,4,2,0,380,1
1054,0,3,2,648,1
1055,2309,22,0,0,5
1056,5,2,0,348,1
1057,5,2,0,103,1
1058,8,2,0,134,1
1059,1,1,1,12,1
1060,2,2,0,188,1
1061,8,22,0,76,4
1062,137,7,0,0,1
1063,2,1,1,64,1
1064,1,3,2,136,1
1065,6,22,0,76,4
1066,14,1,0,6,1
1067,1,1,1,12,1
1068,1,1,1,12,1
1069,0,2,0,0,1
1070,0,1,0,0,1
1071,0,5,1,124,1
1072,2,6,1,44,1
1073,1,3,2,136,1
1074,0,2,1920,15360,1
1075,2,2,0,954,1
1076,13,3,0,8,1
1077,0,1,1,12,1
1078,75,2,0,40,1
1079,7,1,0,18,1
1080,0,3,0,0,1
1081,8,9,0,83,1
1082,3,5,0,122,1
1083,0,3,2,136,1
1084,4,16,0,85,4
1085,3,22,0,169,4
1086,0,3,2,112,1
1087,2,1,1,56,1
1088,4,1,0,42,1
1089,0,3,0,0,1
1090,0,1,1,12,1
1091,3,7,0,37,1
1092,3,3,0,45,1
1093,25,22,0,18,4
1094,0,1,2,112,1
1095,4,22,0,156,4
1096,2,1,1,56,1
1097,0,1,1,12,1
1098,0,1,2,112,1
1099,19,6,0,31,1
1100,1,4,2,128,1
1101,69,1,0,9,1
1102,7,9,0,34,1
1103,1,3,2,200,1
1104,584,1,0,0,1
1105,2,3,1,56,1
1106,47,1,0,0,1
1107,64,6,0,1,1
1108,3,1,0,69,1
1109,7,21,0,87,4
1110,0,1,1920,15360,1
1111,5,2,0,512,1
1112,1,1,2,112,1
1113,1,1,2,72,1
1114,66,7,0,0,1
1115,1,1,1,12,1
